portfolio_id,security,original_quantity,crossed_quantity,remaining_quantity,trade_direction
S-17147,MAT US,-8200,-5600,-2600,SELL
S-17147,MCD US,-25800,0,-25800,SELL
P-36182,MCD US,-400,0,-400,SELL
S-17147,SPGI US,-5600,0,-5600,SELL
S-17147,MDU US,24400,0,24400,BUY
S-17147,MDT US,-15800,0,-15800,SELL
P-36182,MDT US,-1800,0,-1800,SELL
S-17147,CVS US,-32000,0,-32000,SELL
S-17147,MRK US,172800,0,172800,BUY
P-36182,MRK US,1200,0,1200,BUY
S-17147,MGM US,-16800,0,-16800,SELL
P-36182,MGM US,-2800,0,-2800,SELL
S-17147,MU US,-7000,-800,-6200,SELL
S-17147,MMM US,-33600,0,-33600,SELL
S-17147,MSI US,-2800,0,-2800,SELL
S-17147,MLI US,4000,0,4000,BUY
S-17147,BAC US,-100800,0,-100800,SELL
S-17147,NFG US,4600,0,4600,BUY
S-17147,THC US,-3600,0,-3600,SELL
S-17147,NWL US,-35200,0,-35200,SELL
S-17147,NEM US,2200,0,2200,BUY
S-17147,NKE US,1600,0,1600,BUY
S-17147,NI US,-27000,-5000,-22000,SELL
S-17147,NSC US,-2600,0,-2600,SELL
S-17147,ES US,-27400,0,-27400,SELL
S-17147,NOC US,-1400,0,-1400,SELL
P-36182,NOC US,-800,0,-800,SELL
S-17147,WFC US,-77400,-1400,-76000,SELL
S-17147,NUE US,-21600,0,-21600,SELL
P-47227,OXY US,-8500,-1600,-6900,SELL
S-17147,OMC US,10000,0,10000,BUY
P-36182,OMC US,9400,0,9400,BUY
S-17147,OKE US,-4600,0,-4600,SELL
S-17147,PCG US,432000,0,432000,BUY
S-17147,PH US,-1600,0,-1600,SELL
P-93050,PH US,-1000,0,-1000,SELL
P-36182,PH US,-200,0,-200,SELL
P-47227,PPL US,6000,800,5200,BUY
S-17147,PEP US,-14200,-6000,-8200,SELL
P-36182,PEP US,-7800,0,-7800,SELL
S-17147,PFE US,-71400,-31000,-40400,SELL
P-36182,PFE US,-25600,0,-25600,SELL
S-17147,EXC US,-45600,0,-45600,SELL
P-36182,EXC US,-53600,0,-53600,SELL
S-17147,WTRG US,600,0,600,BUY
S-17147,MO US,-134900,0,-134900,SELL
S-17147,PVH US,-5100,0,-5100,SELL
S-17147,PHM US,-10600,0,-10600,SELL
S-17147,PNC US,-6200,-4000,-2200,SELL
S-17147,PPG US,-5200,0,-5200,SELL
S-17147,C US,-34800,-1200,-33600,SELL
S-17147,PG US,63200,0,63200,BUY
P-36182,PG US,800,0,800,BUY
S-17147,PGR US,-9000,-4000,-5000,SELL
P-36182,PGR US,-800,0,-800,SELL
S-17147,PEG US,34600,0,34600,BUY
S-17147,RLI US,-5200,0,-5200,SELL
S-17147,RHI US,6600,0,6600,BUY
S-17147,ROL US,-13800,0,-13800,SELL
S-17147,R US,3000,0,3000,BUY
S-17147,EIX US,-21600,0,-21600,SELL
S-17147,SLB US,600,0,600,BUY
P-93050,SLB US,144000,12400,131600,BUY
S-17147,SHW US,-3600,0,-3600,SELL
S-17147,TFC US,-24000,-2400,-21600,SELL
S-17147,LUV US,7000,0,7000,BUY
S-17147,T US,7200,0,7200,BUY
P-36182,T US,3600,0,3600,BUY
S-17147,TRV US,-4000,-3000,-1000,SELL
P-36182,TRV US,-400,0,-400,SELL
S-17147,SWK US,-10400,0,-10400,SELL
S-17147,PSA US,-4000,-3000,-1000,SELL
S-17147,SYY US,-18600,0,-18600,SELL
P-36182,SYY US,-1400,0,-1400,SELL
S-17147,TXN US,-7800,-600,-7200,SELL
S-17147,TXT US,-2000,0,-2000,SELL
S-17147,TMO US,-4000,0,-4000,SELL
P-36182,TMO US,-400,0,-400,SELL
S-17147,THO US,-1200,0,-1200,SELL
P-47227,THO US,-2000,0,-2000,SELL
S-17147,TKR US,-800,0,-800,SELL
S-17147,TJX US,-32400,-6000,-26400,SELL
P-36182,TJX US,-1000,0,-1000,SELL
S-17147,TOL US,-800,0,-800,SELL
P-36182,TOL US,-800,0,-800,SELL
S-17147,TTC US,2800,0,2800,BUY
P-36182,TTC US,1400,0,1400,BUY
S-17147,JCI US,78600,0,78600,BUY
P-93050,JCI US,7000,0,7000,BUY
S-17147,UGI US,-600,0,-600,SELL
S-17147,UNP US,2000,0,2000,BUY
